Participant ID,Name of CCASS Participant(* for Consenting Investor Participants ),Address,Shareholding,% of the total numberof Issued Shares/Warrants/Units
B01765,PROMISING SECURITIES CO LTD,22/F CHUN WO COMMERCIAL CENTRE 23-27 WING WO STREET HONG KONG,"83,700",0.00%
B01947,FUBON SECURITIES (HONG KONG) LTD,UNIT B 41/F @CONVOY 169 ELECTRIC ROAD HONG KONG,"83,260",0.00%
B01566,K.K.M. SECURITIES LTD,23/F 77-83 WANCHAI ROAD WANCHAI HONG KONG,"82,919",0.00%
B01462,PING AN SECURITIES LTD,UNIT 02 2/F CHINA MERCHANTS BUILDING 152-155 CONNAUGHT ROAD CENTRAL HONG KONG,"82,857",0.00%
B01893,WINCO SECURITIES CO LTD,RM 1404 14/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG,"80,500",0.00%
B01866,ICBC INTERNATIONAL SECURITIES LTD,37/F ICBC TOWER 3 GARDEN ROAD HONG KONG,"79,968",0.00%
B01661,HERMES SECURITIES LTD,UNIT 2810 28/F CHINA MERCHANTS TOWER SHUN TAK CENTRE 168-200 CONNAUGHT ROAD CENTRAL HONG KONG,"77,443",0.00%
B01843,TELECOM DIGITAL SECURITIES LTD,UNITS 3608-3612 36/F TOWER 2 METROPLAZA 223 HING FONG ROAD KWAI FONG NEW TERRITORIES,"77,208",0.00%
B01662,BOKHARY SECURITIES LTD,19/F TAK WOO HOUSE 17-19 D'AGUILAR STREET CENTRAL HONG KONG,"76,110",0.00%
B01343,CELETIO INVESTMENTS LTD,ROOM 2202-3 22/F CHINA INSURANCE GROUP BUILDING 141 DES VOEUX ROAD CENTRAL HONG KONG,"75,726",0.00%
B01472,SUN GROWTH SECURITIES LTD,29/F INFINITUS PLAZA 199 DES VOEUX ROAD CENTRAL HONG KONG,"75,609",0.00%
B01848,CATHAY SECURITIES (HONG KONG) LTD,RM 1001 10/F CHINA BUILDING 29 QUEEN'S ROAD CENTRAL HONG KONG,"75,000",0.00%
B01519,GOOD HARVEST SECURITIES CO LTD,7/F HARBOUR COMMERCIAL BUILDING 122-124 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG,"74,282",0.00%
B01657,JS CRESVALE SECURITIES INTERNATIONAL LTD,UNITS 905-906 9/F TWO HARBOURFRONT 22 TAK FUNG STREET HUNGHOM KOWLOON,"69,920",0.00%
B01407,WIN WONG SECURITIES LTD,26/F SUPREME COMMERCIAL BUILDING 368 KING'S ROAD NORTH POINT HONG KONG,"69,887",0.00%
B01786,KO KUN STOCK CO LTD,FLAT 14B SHING LEE COMMERCIAL BUILDING 6-12 WING KUT STREET CENTRAL HONG KONG,"69,015",0.00%
B01546,WO FUNG SECURITIES CO LTD,2/F SIU YING COMM BLDG 151-155 QUEEN'S ROAD CENTRAL HONG KONG,"67,152",0.00%
B01438,KINGSTON SECURITIES LTD,SUITE 2801  28TH FLOOR ONE INTERNATIONAL FINANCE CENTRE 1 HARBOUR VIEW STREET CENTRAL HONG KONG,"66,529",0.00%
B01433,HING WAI ALLIED SECURITIES LTD,RM 2902-2903 118 CONNAUGHT ROAD WEST HONG KONG,"65,086",0.00%
B01759,WINLAND WEALTH MANAGEMENT LTD,RM 1901 SOUTH CHINA BUILDING 3 WYNDHAM STREET CENTRAL HONG KONG,"65,003",0.00%
B01955,FUTU SECURITIES INTERNATIONAL,11/F BANGKOK BANK BUILDING 14-20 BONHAM STRAND WEST SHEUNG WAN HONG KONG,"64,441",0.00%
B01455,NATIONAL RESOURCES SECURITIES LTD,RM 102 1/F ON HONG COMMERCIAL BUILDING 145 HENNESSY ROAD WANCHAI HONG KONG,"63,260",0.00%
B01968,AYERS ALLIANCE SECURITIES (HK) LTD,SUITES 1812-1814 18/F TWO INTERNATIONAL FINANCE CENTRE 8 FINANCE STREET CENTRAL HONG KONG,"63,000",0.00%
B01520,NORTH SEA SECURITIES LTD,2/F UNIT B WINBASE CENTRE 208 QUEEN'S ROAD CENTRAL HONG KONG,"60,681",0.00%
,HONG KONG SECURITIES CLEARING CO. LTD.,12/F ONE INTERNATIONAL FINANCE CENTRE 1 HARBOUR VIEW STREET CENTRAL HONG KONG,"60,647",0.00%
B01473,SUNNY WORLD INVESTMENT LTD,10/F SIBERIAN BLDG 29 DES VOEUX ROAD CENTRAL HONG KONG,"60,306",0.00%
B01597,TIMES SECURITIES CO LTD,SUITE 3110 TOWER I LIPPO CENTRE 89 QUEENSWAY HONG KONG,"58,923",0.00%
B01646,TAI NING STOCK CO LTD,13/F WINGS BUILDING 110-116 QUEEN'S ROAD CENTRAL HONG KONG,"58,752",0.00%
B01714,HEAD & SHOULDERS SECURITIES LTD,ROOM 2511 25/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG,"58,509",0.00%
B01514,KARL-THOMSON SECURITIES CO LTD,RM 607-610 6/F TAI YAU BUILDING 181 JOHNSTON ROAD WANCHAI HONG KONG,"57,492",0.00%
B01606,EWARTON SECURITIES LTD,RM 1009 10/F WING ON CENTRE 111 CONNAUGHT ROAD CENTRAL SHEUNG WAN HONG KONG,"56,940",0.00%
B01460,BERICH BROKERAGE LTD,3/F SHUM TOWER 268 DES VOEUX ROAD CENTRAL HONG KONG,"56,165",0.00%
B01342,WAH THAI SECURITIES LTD,RM 202 2/F GENERAL COMMERCIAL BUILDING 156-164 DES VOEUX ROAD CENTRAL HONG KONG,"54,598",0.00%
B01351,WING FUNG SECURITIES LTD,20/F WING ON HOUSE 71 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG,"54,368",0.00%
B01677,ANUE SECURITIES LTD,28/F GUANGDONG TOURS CENTER 18 PENNINGTON STREET CAUSEWAY BAY HONG KONG,"53,865",0.00%
B01575,MASTER TRADEMORE SECURITIES LTD,12/F SHUM TOWER 268 DES VOEUX ROAD CENTRAL HONG KONG,"53,783",0.00%
B01328,BAN HIN SECURITIES CO LTD,RM 901-2 LANSING HSE 41-47 QUEEN'S RD C CENTRAL HONG KONG,"53,592",0.00%
B01551,YUE XIU SECURITIES CO LTD,28/F SIU ON CENTRE 188 LOCKHART ROAD WANCHAI HONG KONG,"53,476",0.00%
B01458,YICKO SECURITIES LTD,19TH FLOOR TUNG NING BUILDING 125-7 CONNAUGHT ROAD CENTRAL HONG KONG,"53,266",0.00%
B01191,OKACHI INVESTMENTS (HONG KONG) CO LTD,6/F EURO TRADE CTR 13-14 CONNAUGHT RD CENTRAL HONG KONG,"51,772",0.00%
B01341,TUNG TAI SECURITIES CO LTD,RM 508 TWO EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG,"50,674",0.00%
B01535,WING YEE SECURITIES CO LTD,RM 1803 CHAMPION BUILDING 287-291 DES VOEUX ROAD CENTRAL SHEUNG WAN HONG KONG,"50,593",0.00%
,SIU YUK LUNG *,UNIT A 15/F KINGS WING PLAZA 2 1 ON KWAN STREET SHATIN NEW TERRITORIES,"50,524",0.00%
B01559,HING LEE SECURITIES LTD,RM 3008 TOWER 6 THE GATEWAY HARBOUR CITY TSIMSHATSUI KOWLOON,"50,268",0.00%
B01783,FREDDY CO LTD,RM 2102 21/F MELBOURNE PLAZA 33 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG,"50,223",0.00%
B01144,TAK FUNG SHARES INVESTMENT CO LTD,8/F WAH YUEN BLDG 145-149 QUEEN'S RD CENTRAL HONG KONG,"49,888",0.00%
B01501,GOLDRIDE SECURITIES LTD,17/F 8 LYNDHURST TERRACE NO. 2-10 LYNDHURST TERRACE CENTRAL HONG KONG,"47,556",0.00%
B01669,FIRST SECURITIES (HK) LTD,RM 1708-1710 17/F CHINA INSURANCE GROUP BUILDING 141 DES VOEUX ROAD CENTRAL HONG KONG,"47,460",0.00%
B01389,ZHONGRONG PT SECURITIES LTD,RM 201A 2/F CHINA BUILDING 29 QUEEN'S ROAD CENTRAL HONG KONG,"47,217",0.00%
B01938,CHINA INDUSTRIAL SECURITIES,32/F INFINITUS PLAZA 199 DES VOEUX ROAD CENTRAL SHEUNG WAN HONG KONG,"46,125",0.00%
,POON MIU FONG *,FLAT 6C BLOCK 10 DEERHILL BAY DEERHILL VILLAS 4699 TAI PO ROAD TAI PO KAU TAI PO NEW TERRITORIES,"45,412",0.00%
B01665,WINSOME STOCK CO LTD,TOP FLOOR WING SHUN BUILDING 64-66 BONHAM STRAND WEST HONG KONG,"45,088",0.00%
B01973,PC SECURITIES LTD,UNIT A 11/F LEE GARDEN FIVE 18 HYSAN AVENUE CAUSEWAY BAY HONG KONG,"44,784",0.00%
B01710,SINO-RICH SECURITIES & FUTURES LTD,3702B FAR EAST FINANCE CENTRE 16 HARCOURT ROAD ADMIRALTY HONG KONG,"44,751",0.00%
B01806,CHINA GATHER WEALTH FINANCIAL CO LTD,UNIT A1 & A2 12/F LIPPO LEIGHTON TOWER 103 LEIGHTON ROAD CAUSEWAY BAY HONG KONG,"44,656",0.00%
B01777,DAIWA CAPITAL MARKETS HONG KONG LTD,LEVEL 26 ONE PACIFIC PLACE 88 QUEENSWAY HONG KONG,"44,356",0.00%
B01636,BUSINESS SECURITIES LTD,21/F HOLD WIN CENTRE 83 QUEEN'S ROAD EAST WANCHAI HONG KONG,"44,092",0.00%
C00004,"MUFG BANK, LTD.",5/F AIA CENTRAL 1 CONNAUGHT ROAD CENTRAL HONG KONG,"43,940",0.00%
B01443,YING WAH SECURITIES CO LTD,RM A 3/F FOO CHEONG BUILDING 82-86 WING LOK STREET SHEUNG WAN HONG KONG,"43,284",0.00%
B01550,HUAYU SECURITIES LTD,SUITE 930 9/F OCEAN CENTRE HARBOUR CITY 5 CANTON ROAD KOWLOON,"41,977",0.00%
B01555,ABN AMRO CLEARING HONG KONG LTD,LEVEL 70 INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON,"40,637",0.00%
B01428,HIP HING SECURITIES LTD,11/F DUKE WELLINGTON BLDG 14-24 WELLINGTON ST CENTRAL HONG KONG,"38,444",0.00%
B01676,TAI SHING STOCK INVESTMENT CO LTD,ROOM 801-804 HALESON BUILDING 1 JUBILEE STREET CENTRAL HONG KONG,"38,090",0.00%
B01666,CHINA GOLDJOY SECURITIES LTD,UNITS 1704-1706 17/F INFINITUS PLAZA 199 DES VOEUX ROAD CENTRAL HONG KONG,"37,776",0.00%
B01696,HANTEC SECURITIES CO LTD,12/F SOUTH CHINA BUILDING 1-3 WYNDHAM STREET CENTRAL HONG KONG,"36,998",0.00%
B01294,CS WEALTH SECURITIES LTD,RM 3206 32/F CHINA RESOURCES BUILDING 26 HARBOUR ROAD WANCHAI HONG KONG,"36,546",0.00%
B01525,KEE CHEONG SECURITIES CO LTD,1/F SUN MONG HOUSE 50-56 MONGKOK ROAD MONGKOK KOWLOON,"36,460",0.00%
B01769,ONE CHINA SECURITIES LTD,2/F CHEONG K. BUILDING 84-86 DES VOEUX ROAD CENTRAL HONG KONG,"36,216",0.00%
B01784,FU YIP SECURITIES AND INVESTMENT CO LTD,FLAT F 4/F SHING LEE COMMERCIAL BUILDING 6-12 WING KUT STREET CENTRAL HONG KONG,"36,123",0.00%
B01731,SHUN HENG SECURITIES LTD,SUITE 5107 51/F CENTRAL PLAZA 18 HARBOUR ROAD WANCHAI HONG KONG,"35,441",0.00%
B01645,SELINA & CO LTD,RM 601-602 6/F PETER BUILDING 58-60 QUEEN'S ROAD CENTRAL HONG KONG,"35,052",0.00%
B01761,KO'S BROTHER SECURITIES CO LTD,"UNITS 1A&B, 2C & 6A KO'S HOUSE 577 NATHAN ROAD MONGKOK KOWLOON","34,364",0.00%
B01310,TUNG TAK SECURITIES (H.K.) CO LTD,G/F 169 TAI NAM ST SHAMSHUIPO KOWLOON,"34,128",0.00%
B01659,CHEER UNION SECURITIES LTD,15/F WORLD TRUST TOWER 50 STANLEY STREET CENTRAL HONG KONG,"34,012",0.00%
B01297,ONSHINE SECURITIES LTD,21/F ENTERTAINMENT BLDG 30 QUEEN'S ROAD CENTRAL HONG KONG,"33,928",0.00%
B01632,WAI FAT SECURITIES LTD,FLAT D  4/F  MONGKOK BUILDING 546-548 NATHAN ROAD MONGKOK KOWLOON,"33,812",0.00%
B01940,8 SECURITIES LTD,17/F THE L. PLACE 139 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG,"33,184",0.00%
B01213,MALAHON SECURITIES LTD,5-6/F 17/F & 21/F MALAHON CENTRE 8-12 STANLEY STREET CENTRAL HONG KONG,"33,017",0.00%
B01724,RAMON INVESTMENT CO LTD,RM 201-5 2/F KOWLOON CENTRE 29-39 ASHLEY ROAD KOWLOON,"32,860",0.00%
B01609,WILBY SECURITIES LTD,14/F OTB BUILDING 259-265 DES VOEUX ROAD CENTRAL HONG KONG,"32,548",0.00%
B01890,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,42/F TWO INTERNATIONAL FINANCE CENTRE 8 FINANCE STREET CENTRAL HONG KONG,"32,420",0.00%
B01825,GUOYUAN SECURITIES BROKERAGE (HONG KONG),22/F CCB TOWER 3 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG,"31,948",0.00%
B01699,MASTERLINK SECURITIES (HONG KONG),26/F BONHAM TRADE CENTRE 50 BONHAM STRAND SHEUNG WAN HONG KONG,"31,736",0.00%
B01705,HENIK SECURITIES LTD,7/F CHEONG SUN TOWER 118 WING LOK STREET SHEUNG WAN HONG KONG,"31,652",0.00%
B01318,OKASAN INTERNATIONAL (ASIA) LTD,RM 4601-4603 46/F THE CENTER 99 QUEEN'S ROAD CENTRAL HONG KONG,"31,116",0.00%
B01592,PLATINUM BROKING CO LTD,21/F LHT TOWER 31 QUEEN'S ROAD CENTRAL HONG KONG,"31,052",0.00%
B01323,DEUTSCHE SECURITIES ASIA LTD,52/F INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON,"31,000",0.00%
B01941,CENTALINE SECURITIES LTD,UNIT 1003-1005 10/F MIRA PLACE TOWER A 132 NATHAN ROAD TSIM SHA TSUI KOWLOON,"30,944",0.00%
B01792,HONG KONG WAN KIU INVESTMENT CO LTD,RM 1303 13/F ON LOK YUEN BUILDING 25 DES VOEUX ROAD CENTRAL HONG KONG,"30,752",0.00%
B01547,KWOK HING SECURITIES LTD,RM 702 FAR EAST CONSORTIUM BUILDING 121 DES VOEUX ROAD CENTRAL HONG KONG,"30,500",0.00%
B01678,GLS SECURITIES LTD,ROOM 1001 HONG KONG HOUSE 17-19 WELLINGTON STREET CENTRAL HONG KONG,"30,116",0.00%
B01684,WING ON SECURITIES LTD,RM 1706-7 CHINA INSURANCE GROUP BUILDING 141 DES VOEUX ROAD CENTRAL HONG KONG,"30,113",0.00%
,"BARNETT MATTHEW JOHN, BARNETT DIANA *",FLAT 12B KADOORIE AVENUE MANSION 205-207 PRINCE EDWARD ROAD WEST HOMANTIN KOWLOON,"29,996",0.00%
B01749,TANG KEE SECURITIES LTD,RM 803 8/F CHINA INSURANCE GROUP BLDG 141 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG,"28,986",0.00%
B01642,KMT SECURITIES LTD,G/F SUNSHINE MANSION 46/46A FORT STREET HONG KONG,"28,732",0.00%
B01917,CHINA TIMES SECURITIES LTD,RM 503 5/F THE SUN'S GROUP CENTRE 200 GLOUCESTER ROAD HONG KONG,"28,472",0.00%
B01855,VISION FINANCE (SECURITIES) LTD,RM 23A YARDLEY COMMERCIAL BUILDING 3 CONNAUGHT ROAD WEST HONG KONG,"28,000",0.00%
B01712,WAH SANG SECURITIES LTD,UNIT B 16/F WINBASE CENTRE 208 QUEEN'S ROAD CENTRAL HONG KONG,"27,996",0.00%
B01904,VALUABLE CAPITAL LTD,RM 2815 28/F CHINA MERCHANTS TOWER SHUN TAK CENTRE 168-200 CONNAUGHT RD CENTRAL SHEUNG WAN HONG KONG,"27,920",0.00%
B01401,MEGABASE SECURITIES LTD,RM 608-609 6/F ONE ISLAND SOUTH 2 HEUNG YIP ROAD HONG KONG,"27,916",0.00%
B01780,TUNG SHUN SECURITIES LTD,RM 202 PETER BUILDING 58-62 QUEEN'S ROAD CENTRAL HONG KONG,"27,828",0.00%
B01615,KAM FAI SECURITIES CO LTD,21/F CHAMPION BUILDING 287-291 DES VOEUX ROAD CENTRAL HONG KONG,"27,628",0.00%
B01925,BMI SECURITIES LTD,SUITES 909-916 SHUI ON CENTRE 6-8 HARBOUR ROAD WANCHAI HONG KONG,"25,812",0.00%
B01383,RICH PLEASURE SECURITIES LTD,2/F AMTEL BUILDING 144-148 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG,"25,760",0.00%
B01459,IFAST SECURITIES (HK) LTD,SUITE 1303 TWO EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG,"25,500",0.00%
B01265,OCBC WING HANG SHARES BROKERAGE CO. LTD,1/F CHUN WO COMMERCIAL CENTRE 23-29 WING WO STREET CENTRAL HONG KONG,"25,241",0.00%
B01444,BAILI SECURITIES CO LTD,10/F TERN CENTRE TOWER 1 237 QUEEN'S ROAD CENTRAL SHEUNG WAN HONG KONG,"24,840",0.00%
B01964,HALCYON SECURITIES LTD,11/F 8 WYNDHAM STREET CENTRAL HONG KONG,"24,288",0.00%
B01493,YARDLEY SECURITIES LTD,20/F V-HEUN BUILDING 138 QUEEN'S ROAD CENTRAL HONG KONG,"24,240",0.00%
B01794,INTERCONTINENT SECURITIES CO LTD,RM 1802 CAR PO COMMERCIAL BUILDING 37-43 POTTINGER STREET HONG KONG,"24,104",0.00%
B01832,MIZUHO SECURITIES ASIA LTD,14/F-15/F K11 ATELIER 18 SALISBURY ROAD TSIM SHA TSUI KOWLOON,"23,780",0.00%
B01680,SUCCESS SECURITIES LTD,SUITE 1603-1607 16/F GREAT EAGLE CENTRE 23 HARBOUR ROAD WANCHAI HONG KONG,"23,528",0.00%
B01585,SINO GRADE SECURITIES LTD,RM 604 TAI PO COMMERCIAL CENTRE 152-172 KWONG FUK ROAD TAI PO NEW TERRITORIES,"23,340",0.00%
B01523,EVER-LONG SECURITIES CO LTD,18/F DAH SING LIFE BUILDING 99 DES VOEUX ROAD CENTRAL HONG KONG,"23,104",0.00%
B01427,SINCERE SECURITIES LTD,9/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG,"23,102",0.00%
B01141,FE SECURITIES LTD,4/F HENLEY BUILDING 5 QUEEN'S ROAD CENTRAL HONG KONG,"22,222",0.00%
B01181,FOSUN HANI SECURITIES LTD,SUITE 2101-2105 21/F CHAMPION TOWER 3 GARDEN ROAD CENTRAL HONG KONG,"22,012",0.00%
B01930,PRIME COURAGE SECURITIES CO LTD,UNIT A 23/F 88 LOCKHART ROAD WANCHAI HONG KONG,"21,934",0.00%
B01660,GRANSING SECURITIES CO LTD,17/F HING YIP COMMERCIAL CENTRE 272-284 DES VOEUX ROAD CENTRAL CENTRAL HONG KONG,"21,890",0.00%
B01976,FRONTIER CAPITAL MANAGEMENT LTD,23/F THREE EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG,"21,840",0.00%
B01614,CHINA HONG KONG CAPITAL ASSET MANAGEMENT,8/F ST. JOHN'S BUILDING 33 GARDEN ROAD CENTRAL HONG KONG,"21,552",0.00%
B01951,GENTING SECURITIES LTD,SUITE 1501 OCEAN CENTRE 5 CANTON ROAD TSIMSHATSUI KOWLOON,"21,520",0.00%
B02020,WEALTH LINK SECURITIES LTD,UNIT B1 5/F GUANGDONG INVESTMENT TOWER 148 CONNAUGHT ROAD CENTRAL HONG KONG,"21,500",0.00%
B01779,LEE'S SECURITIES CO LTD,UNIT B 19/F TWO CHINACHEM PLAZA 135 DES VOEUX ROAD CENTRAL HONG KONG,"21,392",0.00%
B01277,BRADBURY SECURITIES LTD,RM 06-07 58/F THE CENTER 99 QUEEN'S ROAD CENTRAL HONG KONG,"21,340",0.00%
B01897,CENTRAL WEALTH SECURITIES INVESTMENT LTD,UNIT 6708A LEVEL 67 INTERNATIONAL COMMERCE CENTRE 1 AUSTIN ROAD WEST KOWLOON,"21,005",0.00%
B01863,CAPITEC SECURITIES LTD,UNIT 1405-1407 14/F CHINA MERCHANTS STEAM NAVIGATION BLDG 303-307 DES VOEUX ROAD CENTRAL HONG KONG,"21,000",0.00%
B01248,KWAN YICK SECURITIES (INTERNATIONAL) LTD,FLAT B & C 3/F HO LEE COMM BLDG 38-44 D'AGUILAR ST CENTRAL HONG KONG,"20,677",0.00%
B01654,CHINA INTERNATIONAL CAPITAL CORPORATION,29/F ONE INTERNATIONAL FINANCE CENTRE 1 HARBOUR VIEW STREET CENTRAL HONG KONG,"20,604",0.00%
B01715,PRESIDENT SECURITIES (HONG KONG) LTD,UNITS 2603-2606 26/F INFINITUS PLAZA 199 DES VOEUX ROAD CENTRAL HONG KONG,"20,461",0.00%
B01322,INFAST BROKERAGE LTD,18/F 8 LYNDHURST TERRACE 2-10 LYNDHURST TERRACE CENTRAL HONG KONG,"20,238",0.00%
B02025,ASIA WEALTH SECURITIES LTD,6/F FUNG HOUSE 19-20 CONNAUGHT ROAD CENTRAL HONG KONG,"20,000",0.00%
B01604,HUABANG SECURITIES LTD,RM 2901-2902 29/F ENTERPRISE SQUARE TWO 3 SHEUNG YUET ROAD KOWLOON BAY KOWLOON,"18,688",0.00%
B01457,MARS SECURITIES CO LTD,2/F CHUNG NAM HSE 59 DES VOEUX ROAD CENTRAL HONG KONG,"18,208",0.00%
B01454,HAO TIAN INTERNATIONAL SECURITIES LTD,10/F 80 GLOUCESTER ROAD WANCHAI HONG KONG,"17,896",0.00%
B01728,AJ SECURITIES LTD,UNIT 3908-3909 39/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL SHEUNG WAN HONG KONG,"17,574",0.00%
B01809,CHINA SYSTEM SECURITIES LTD,12/F TUNG HIP COMMERCIAL BUILDING 252 DES VOEUX ROAD CENTRAL HONG KONG,"17,524",0.00%
B01577,YF SECURITIES CO LTD,11/F CMA BUILDING 64-66 CONNAUGHT ROAD CENTRAL HONG KONG,"17,120",0.00%
B01558,GOLD FUND SECURITIES CO LTD,RM 1102 HARVEST BUILDING 29-35 WING KUT STREET CENTRAL HONG KONG,"16,576",0.00%
B02078,AFFLUX SECURITIES LTD,UNIT 2208-2209 CHINA INSURANCE GROUP BUILDING 141 DES VOEUX ROAD CENTRAL HONG KONG,"16,500",0.00%
B01531,LAU & CO LTD,RM 801 PARKER HOUSE 72 QUEEN'S ROAD CENTRAL HONG KONG,"16,480",0.00%
B01648,ASIA PACIFIC SECURITIES LTD,SUITE 1005 10/F LANSING HOUSE 41 QUEEN'S ROAD CENTRAL HONG KONG,"16,420",0.00%
B01959,ZHONGTAI INTERNATIONAL SECURITIES LTD,7/F LI PO CHUN CHAMBERS 189 DES VOEUX ROAD CENTRAL HONG KONG,"16,369",0.00%
B01906,SUN INTERNATIONAL SECURITIES LTD,UNIT 2412-2413 24/F CHINA MERCHANTS TOWER SHUN TAK CENTRE 168-200 CONNAUGHT ROAD CENTRAL HONG KONG,"15,944",0.00%
B01421,CSL SECURITIES LTD,RM 1406-1412 14/F NAN FUNG TOWER 88 CONNAUGHT ROAD CENTRAL CENTRAL HONG KONG,"15,568",0.00%
B01266,TANRICH ASIA-PAC SECURITIES LTD,SUITE 801 CENTRAL PLAZA 18 HARBOUR ROAD WANCHAI HONG KONG,"15,208",0.00%
B01521,CHAN NGOK MING SECURITIES LTD,RM 201 CONWELL HOUSE 34-38 STANLEY STREET CENTRAL HONG KONG,"15,125",0.00%
B01967,YUNFENG SECURITIES LTD,SUITES 3201-3204 ONE EXCHANGE SQUARE 8 CONNAUGHT ROAD CENTRAL HONG KONG,"15,050",0.00%
B01739,CHUNG LEE SECURITIES CO LTD,RM 601-602 JUBILEE CENTRE 18 FENWICK STREET WANCHAI HONG KONG,"14,694",0.00%
B01726,C.P. SECURITIES INTERNATIONAL LTD,RM 2707 27/F CHINA RESOURCES BUILDING 26 HARBOUR ROAD WANCHAI HONG KONG,"14,344",0.00%
B01372,FIRST WORLDSEC SECURITIES LTD,RM 1003 10/F INFINITUS PLAZA 199 DES VOEUX ROAD CENTRAL HONG KONG,"13,788",0.00%
B01528,EAA SECURITIES LTD,UNIT 2306 23/F 9 QUEEN'S ROAD CENTRAL HONG KONG,"13,776",0.00%
B01771,ETERNAL PEARL SECURITIES LTD,19/F 88 GLOUCESTER ROAD WANCHAI HONG KONG,"13,656",0.00%
B01900,ORIENT SECURITIES (HONG KONG) LTD,28/F 100 QUEEN'S ROAD CENTER 100 QRC CENTRAL HONG KONG,"13,392",0.00%
B01434,BEEVEST SECURITIES LTD,SUITES 1110-1111 11/F TOWER 6 THE GATEWAY HARBOUR CITY TSIMSHATSUI KOWLOON,"13,276",0.00%
B01481,NEW REGION SECURITIES CO LTD,UNIT A 19/F DAH SING LIFE BUILDING 99 DES VOEUX ROAD CENTRAL HONG KONG,"13,212",0.00%
B01751,JOHN & WONG SECURITIES CO LTD,9/F MALAHON CENTRE 10-12 STANLEY STREET HONG KONG,"12,986",0.00%
B01510,ORIENTAL PATRON SECURITIES LTD,27/F TWO EXCHANGE SQUARE 8 CONNAUGHT PLACE CENTRAL HONG KONG,"12,368",0.00%
B01386,SBI CHINA CAPITAL FINANCIAL SERVICES LTD,UNIT A2 32/F UNITED CENTRE 95 QUEENSWAY HONG KONG,"12,004",0.00%
B01608,TAIWAN CONCORD CAPITAL SECURITIES (HONG,18/F CENTRAL TOWER 28 QUEEN'S ROAD CENTRAL CENTRAL HONG KONG,"11,944",0.00%
B01679,TAI FUNG SECURITIES LTD,3/F TACK BUILDING 48 GILMAN STREET HONG KONG,"11,920",0.00%
,YEUNG MIU YING *,FLAT A 15/F BLOCK 2 EDEN GARDEN 9-11 LOK FUNG PATH FO TAN SHATIN NEW TERRITORIES,"11,760",0.00%
B01509,UNICORN SECURITIES CO LTD,RM 503 GENERAL COMMERCIAL BUILDING 156-164 DES VOEUX ROAD CENTRAL HONG KONG,"11,660",0.00%
B01569,TANG PING KONG LTD,UNIT 306 3/F PRINTING HOUSE 6 DUDDELL STREET CENTRAL HONG KONG,"11,592",0.00%
B01601,CSC SECURITIES (HK) LTD,UNIT 3204-3207 32/F COSCO TOWER GRAND MILLENNIUM PLAZA 183 QUEEN'S ROAD CENTRAL HONG KONG,"11,552",0.00%
B01942,SINO WEALTH SECURITIES LTD,UNIT 2401 24/F BANK OF EAST ASIA HARBOUR VIEW CENTRE 56 GLOUCESTER ROAD WANCHAI HONG KONG,"11,260",0.00%
B01385,FAIRWIN BROKING LTD,RM 11 7/F LIPPO SUN PLAZA 28 CANTON ROAD TSIM SHA TSUI KOWLOON,"11,052",0.00%
B01901,CMB INTERNATIONAL SECURITIES LTD,45/F CHAMPION TOWER 3 GARDEN ROAD CENTRAL HONG KONG,"11,000",0.00%
B01410,CHINA RICH SECURITIES LTD,UNIT 1401 14/F LOW BLOCK GRAND MILLENNIUM PLAZA 181 QUEEN'S ROAD CENTRAL HONG KONG,"10,424",0.00%
B01741,SINOMAX SECURITIES LTD,UNIT 2705-2706 27/F TOWER 1 LIPPO CENTRE 89 QUEENSWAY HONG KONG,"10,368",0.00%
B01753,FORTUNE (HK) SECURITIES LTD,ROOM 4301-4308 & 4313 COSCO TOWER 183 QUEEN'S ROAD CENTRAL SHEUNG WAN HONG KONG,"10,260",0.00%
B01417,CHEE TAK SECURITIES LTD,13/F WING YEE COMMERCIAL BLDG 5 WING KUT STREET CENTRAL HONG KONG,"10,097",0.00%
,CHAN YIM TAO MARGARET *,FLAT A 8/F BLOCK A-B GREENVIEW GARDENS 125 ROBINSON ROAD HONG KONG,"10,000",0.00%
,TUNG SAI YI *,FLAT A 15/F PRINCE RITZ 448 PRINCE EDWARD ROAD WEST KOWLOON CITY KOWLOON,"10,000",0.00%
